Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C3726	Adenomyoma		A benign neoplasm characterized by the presence of a glandular and a mesenchymal (fibromyomatous) component. It occurs in the uterine corpus and the cervix. A variant of adenomyoma associated with glandular architectural complexity is called atypical polypoid adenomyoma. Simple polypectomy is usually curative. Atypical polypoid adenomyoma may recur following polypectomy.	Benign
C9474	Adenosarcoma	Mullerian Adenosarcoma|Mllerian Adenosarcoma	"A low grade malignant neoplasm characterized by the presence of a benign epithelial component (tubular and cleft-like glands) and a low grade sarcomatous component that contains varying amounts of fibrous and smooth muscle tissues. In a minority of cases, the sarcomatous component contains heterologous elements including striated muscle, cartilage, and fat. It occurs in the uterine corpus, ovary, fallopian tube, cervix, and vagina. It may recur and in a minority of cases may metastasize to distant anatomic sites."	Malignant
C3727	Adenosquamous Carcinoma	Adenosquamous Carcinoma|Mixed Adenocarcinoma and Epidermoid Carcinoma|Mixed Adenocarcinoma and Epidermoid Cell Carcinoma|Mixed Adenocarcinoma and Squamous Carcinoma|Mixed Adenocarcinoma and Squamous Cell Carcinoma	A carcinoma composed of malignant glandular cells and malignant squamous cells.	Malignant
C9133	Adenosquamous Lung Carcinoma	Adenosquamous Cell Lung Carcinoma	An aggressive carcinoma with a poor prognosis characterized by a presence of both malignant squamous cells and glandular cells.	Malignant
C3775	Adnexal Carcinoma	Carcinoma of Adnexa|Carcinoma of Skin Appendage|Skin Appendage Carcinoma	"A carcinoma arising from the sebaceous glands, sweat glands, or the hair follicles. Representative examples include sebaceous carcinoma, apocrine carcinoma, eccrine carcinoma, and pilomatrical carcinoma."	Malignant
C9003	Adrenal Cortex Adenoma	Adenoma of Adrenal Cortex|Adenoma of Adrenal Gland|Adenoma of the Adrenal Cortex|Adenoma of the Adrenal Gland|Adrenal Adenoma|Adrenal Cortical Adenoma|Adrenal Gland Adenoma|Adrenocortical Adenoma|Benign Adenoma of Adrenal Gland|Benign Adenoma of the Adrenal Gland|Benign Adrenal Adenoma|Benign Adrenal Gland Adenoma	"A benign neoplasm that can arise from any of the adrenal cortical layers.  It can be associated with the overproduction of glucocorticoids (Cushing's syndrome), androgenic or estrogenic steroids (adrenogenital syndrome), or mineralocorticoids (Conn's syndrome). (Sternberg Diagnostic Surgical Pathology, 3rd ed.)"	Benign
C9325	Adrenal Cortex Carcinoma	Adrenal Cortex Adenocarcinoma|Adrenal Cortex Cancer|Adrenal Cortex Carcinoma|Adrenal Cortical Adenocarcinoma|Adrenal Cortical Carcinoma|Adrenocortical Carcinoma|Carcinoma of Adrenal Cortex|Carcinoma of the Adrenal Cortex	"A rare, usually large (greater than 5cm), malignant epithelial tumor arising from the adrenal cortical cells.  Symptoms are usually related to the excessive production of hormones, and include Cushing's syndrome and virilism in women.  Common sites of metastasis include liver, lung, bone, and retroperitoneal lymph nodes.  Advanced radiologic procedures have enabled the detection of small tumors, resulting in the improvement of the 5-year survival."	Malignant
C3326	Adrenal Gland Pheochromocytoma	Adrenal Gland Chromaffin Paraganglioma|Adrenal Gland Chromaffinoma|Adrenal Gland Paraganglioma|Adrenal Gland Pheochromocytoma|Adrenal Medullary Paraganglioma|Adrenal Medullary Pheochromocytoma|Adrenal Pheochromocytoma|Chromaffin Paraganglioma of the Adrenal Gland|Intraadrenal Paraganglioma|Pheochromocytoma	"A benign or malignant neuroendocrine neoplasm of the sympathetic nervous system that secretes catecholamines.  It arises from the chromaffin cells of the adrenal medulla.  Clinical presentation includes headaches, palpitations, chest and abdominal pain, hypertension, fever, and tremor.  Microscopically, a characteristic nesting (zellballen) growth pattern is usually seen.  Other growth patterns including trabecular pattern may also be present."	Undetermined
C27922	Aflatoxins-Related Hepatocellular Carcinoma		A hepatocellular carcinoma that develops following exposure to aflatoxin.	Malignant
C8647	Aggressive NK-Cell Leukemia	Aggressive NK-Cell Leukemia/Lymphoma|Aggressive NK-Cell Leukemia|NK Cell Leukemia|NK-Cell Leukemia|Natural Killer Cell Leukemia	"A rare, highly aggressive, Epstein-Barr virus-associated leukemia, also known as aggressive NK-cell leukemia/lymphoma; it may represent the leukemic counterpart of nasal type extranodal NK/T-cell lymphomas. It affects primarily teenagers and young adults. It is characterized by the systemic proliferation of NK cells in the peripheral blood, bone marrow, liver, and spleen."	Malignant
C66796	Aggressive Osteoblastoma		An osteoblastoma characterized by the presence of prominent epithelioid osteoblasts and recurrences.	Undetermined
C9285	Aggressive Systemic Mastocytosis	Aggressive Systemic Mastocytosis	"An aggressive and progressive mast cell neoplasm characterized by systemic infiltration of internal organs by aggregates of neoplastic mast cells. There is no evidence of mast cell leukemia or clonal hematologic malignancy. Clinical symptoms include hepatomegaly, splenomegaly, portal hypertension, malabsorption syndrome, and pathologic fractures."	Malignant
C27924	Alcohol-Related Hepatocellular Carcinoma		A hepatocellular carcinoma that develops following alcohol-induced injury of the liver parenchyma.	Malignant
C7225	ALK-Positive Large B-Cell Lymphoma	Diffuse Large B-Cell Lymphoma with Expression of Full-Length ALK|Diffuse Large B-Cell Lymphoma with Expression of Full-Length Anaplastic Lymphoma Kinase	A usually aggressive large B-cell lymphoma characterized by the presence of monomorphic immunoblast-like neoplastic B-lymphocytes in a sinusoidal growth pattern.  The neoplastic B-lymphocytes express the ALK kinase but they lack the 2;5 translocation.	Malignant
C27754	Alkylating Agent-Related Acute Myeloid Leukemia	Alkylating Agent Related Acute Myeloid Leukemia		Malignant
C7643	Alkylating Agent-Related Myelodysplastic Syndrome	Alkylating Agent Related Myelodysplastic Syndrome	"A disorder seen following cancer chemotherapy. It is the most common cause of therapy-related myelodysplastic syndromes. It typically manifests several years after initiation of single or multi-agent chemotherapy with alkylators. Mutagenic potential of alkylating agents is believed to be age and cumulative dose-dependent. Deletions in chromosomes 5 and 7 are associated with susceptibility to this disorder. Clinical signs may include fatigue, dyspnea, bruising and frequent infections. Clinical course may progress to bone marrow failure or acute myeloid leukemia that is refractory to treatment. Prognosis is dismal with survivability usually less than one year."	Undetermined
C3132	Alpha Heavy Chain Disease	Immunoproliferative Small Intestinal Disease|Mediterranean Abdominal Lymphoma|Mediterraneanl Lymphoma	"A clonal disorder, also known as immunoproliferative small intestinal disease or Mediterranean lymphoma, characterised by the secretion of a defective alpha heavy chain.  It predominantly affects young people in the Mediterranean region.  It involves the small intestine, and patients usually present with malabsorption syndrome, abdominal pain, weight loss, and fever.  There is extensive villous atrophy of the small intestinal mucosa, which is heavily infiltrated by small lymphocytes and plasma cells.  The small intestinal morphologic changes are consistent with a mucosa-associated lymphoid tissue lymphoma (MALT lymphoma)."	Malignant
C4140	Alveolar Adenoma	Adenoma of Alveoli|Adenoma of the Alveoli	"A benign, well circumscribed lung neoplasm morphologically characterized by the presence of cystic spaces resembling alveoli, lined by a simple cuboidal epithelium. The cystic spaces are surrounded by a spindle cell stroma which may show myxoid changes. It is a solitary, usually peripheral lung lesion. Patients are usually asymptomatic and its discovery is an incidental finding during chest X-ray examination. Surgical excision is curative."	Benign
C3749	Alveolar Rhabdomyosarcoma	Monomorphous Round Cell Rhabdomyosarcoma	A rapidly growing malignant mesenchymal neoplasm. It is characterized by the presence of round cells with myoblastic differentiation and a fibrovascular stroma resembling an alveolar growth pattern. The tumor usually presents in the extremities.	Malignant
C3802	Amelanotic Melanoma		A melanoma characterized by the complete absence of melanin pigment in the melanoma cells. It occurs more frequently on the face and it is often associated with desmoplastic reaction.	Malignant
C6650	Ampulla of Vater Adenocarcinoma	Adenocarcinoma of Ampulla of Vater|Ampullary Adenocarcinoma|Invasive Adenocarcinoma of the Ampullary Region	"An invasive carcinoma with glandular differentiation arising from the ampulla of Vater.  Signs and symptoms include jaundice, abdominal pain, anorexia, nausea, vomiting, and weight loss."	Malignant
C3908	Ampulla of Vater Carcinoma	Ampulla of Vater Cancer|Ampullary Carcinoma	"A carcinoma arising from the ampulla of Vater.  The vast majority of cases are adenocarcinomas.  Signs and symptoms include jaundice, abdominal pain, anorexia, nausea, vomiting, and weight loss."	Malignant
C6657	Ampulla of Vater Intestinal-Type Adenoma	Ampulla of Vater Adenoma|Ampullary Adenoma	"An adenoma that arises from the ampulla of Vater and resembles the adenomas of the small and large intestines.  Morphologically, according to the growth pattern, it may be classified as tubular, tubulovillous, or villous.  Dysplasia is always present.  Jaundice may be an early symptom."	Benign
C5600	Anal Adenocarcinoma	Adenocarcinoma of Anus|Adenocarcinoma of the Anus	"An adenocarcinoma arising in the anal canal epithelium, including the mucosal surface, the anal glands, and the lining of fistulous tracts.  The prognosis is related to the stage at diagnosis."	Malignant
C7471	Anal Canal Adenocarcinoma	Adenocarcinoma Arising in Anal Mucosa|Adenocarcinoma Arising in the Anal Mucosa|Adenocarcinoma of Anal Canal|Adenocarcinoma of the Anal Canal	"An anal adenocarcinoma arising from the anal canal mucosa.  Morphologically, it resembles the adenocarcinoma which arises from the colorectal glandular epithelium.  Symptoms include anal pruritus, discomfort when sitting, pain, change in bowel habit, and bleeding."	Malignant
C7489	Anal Canal Carcinoma	Anal Canal Cancer|Anal Canal and Perianal Gland Cancer|Anal Canal and Perianal Gland Carcinoma	"A squamous cell carcinoma or less frequently an adenocarcinoma, often associated with human papillomavirus (HPV) infection. Homosexual men are at particular risk. The most important prognostic factors are tumor stage and nodal status."	Malignant
C7469	Anal Canal Squamous Cell Carcinoma		A squamous cell carcinoma arising from the mucosa of the anal canal.	Malignant
C9291	Anal Carcinoma	Anal Cancer|Cancer of Anus|Cancer of the Anus|Carcinoma of Anus|Carcinoma of the Anus	A carcinoma that arises from the anus.  Anal carcinomas include the anal canal and anal margin (perianal skin) carcinomas.  The anal margin carcinoma is staged separately as a skin carcinoma.  Anal cancer stage terms are used as synonyms for anal canal cancer stage terms.	Malignant
C7474	Anal Extramucosal (Perianal) Adenocarcinoma	Extramucosal (Perianal) Adenocarcinoma of Anus|Extramucosal (Perianal) Adenocarcinoma of the Anus	An anal adenocarcinoma arising from the lining of an anorectal fistulous tract or the anal glands.  The overlying anal mucosa does not show evidence of neoplastic changes.  It usually presents as a submucosal tumor.	Malignant
C7472	Anal Margin Carcinoma	Carcinoma of Anal Margin|Carcinoma of the Anal Margin|Perianal Skin Carcinoma	"A carcinoma arising in the anal margin or perianal skin (below the anal verge and involving the perianal hair-bearing skin).  It includes basal cell and squamous cell carcinoma.  Anal margin carcinoma is staged as a skin carcinoma, separately from anal canal carcinoma.  -- 2003"	Malignant
C6925	Anal Margin Squamous Cell Carcinoma	Perianal Skin Squamous Cell Carcinoma|Squamous Cell Carcinoma of Anal Margin|Squamous Cell Carcinoma of the Anal Margin	A squamous cell carcinoma arising from the perianal skin.	Malignant
C9161	Anal Squamous Cell Carcinoma	Epidermoid Anal Carcinoma|Epidermoid Carcinoma of Anus|Epidermoid Carcinoma of the Anus|Squamous Cell Anal Carcinoma|Squamous Cell Carcinoma of Anus|Squamous Cell Carcinoma of the Anus	"A squamous cell carcinoma (SCC) arising from the anal canal or the anal margin (perianal skin). Human papillomavirus is detected in the majority of cases. Homosexual HIV-positive men have an increased risk of developing anal squamous cell carcinoma in comparison to the general male population. Symptoms include anal pruritus, discomfort when sitting, pain, change in bowel habit, and bleeding. The prognosis is generally better for anal margin SCC than for anal canal SCC."	Malignant
C4051	Anaplastic (Malignant) Meningioma	"Anaplastic (Malignant) Meningioma|Anaplastic Meningioma|Malignant Meningioma|Meningioma, Malignant"	"A WHO grade III meningioma characterized by the presence of malignant morphologic features, including malignant cytology and a very high mitotic index (20 or more mitoses per ten high power fields)."	Malignant
C68644	Anaplastic Adrenal Cortex Carcinoma		"An adrenal cortex carcinoma characterized by the presence of necrotic changes, hemorrhage, nuclear atypia, and mitotic activity."	Malignant
C84347	Anaplastic Astroblastoma		"An astroblastoma characterized by the presence of high mitotic activity, cytologic atypia, and architectural distortion."	Malignant
C9477	Anaplastic Astrocytoma	Anaplastic Astrocytoma|Grade III Astrocytic Neoplasm|Grade III Astrocytic Tumor|Grade III Astrocytoma|Malignant Astrocytoma	"A diffusely infiltrating, WHO grade III astrocytoma with focal or dispersed anaplasia, and a marked proliferative potential. It may arise from a low-grade astrocytoma, but it can also be diagnosed at first biopsy, without indication of a less malignant precursor lesion. It has an intrinsic tendency for malignant progression to glioblastoma. (WHO)"	Malignant
C4049	Anaplastic Ependymoma	Anaplastic Ependymal Neoplasm|Anaplastic Ependymal Tumor|Anaplastic Ependymoma|Malignant Ependymoma|Undifferentiated Ependymal Neoplasm|Undifferentiated Ependymal Tumor|Undifferentiated Ependymoma|WHO Grade III Ependymal Neoplasm|WHO Grade III Ependymal Tumor	"A WHO grade III malignant glioma of ependymal origin with accelerated growth and an unfavorable clinical outcome, particularly in children. It is characterized by high mitotic activity, often accompanied by microvascular proliferation and pseudo-palisading necrosis. (Adapted from WHO)"	Malignant
