?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0034590>	"Abnormal circulating thyroxine-binding globulin concentration"	"Any deviation from the normal concentration of thyroxine-binding globulin (TBG) in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0010965>	"Abnormal circulating phytanic acid concentration"	"Any deviation from the normal concentration of phytanic acid in the blood circulation."	"Abnormal circulating long-chain fatty-acid concentration"
<http://purl.obolibrary.org/obo/HP_0025626>	"Increased circulating oleate level"@en	"An abnormally high concentration of oleic acid (oleate) in the blood circulation."	"Elevated circulating long chain fatty acid concentration"
<http://purl.obolibrary.org/obo/HP_0500145>	"Hypohistidinemia"	"A decreased amount of histidine in the blood."	"Abnormal circulating histidine concentration"
<http://purl.obolibrary.org/obo/HP_6000432>	"Elevated urine propionic acid level"	"The amount of propionic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Monocarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0500201>	"Decreased CSF glutamate concentration"@en	"Abnormally decreased levels of glutamic acid in cerebrospinal fluid."	"Abnormal CSF glutamate concentration"
<http://purl.obolibrary.org/obo/HP_0040426>	"Decreased urinary hypoxanthine level"	"The concentration of hypoxanthine in the urine, normalized for urine concentration, is below the lower limit of normal."	"Abnormal urinary hypoxanthine level"
<http://purl.obolibrary.org/obo/HP_0003571>	"Propionic acidemia"	"Increased concentration of proprionic acid in the blood circulation."	"Acidemia"
<http://purl.obolibrary.org/obo/HP_4000212>	"Increased circulating vitamin A concentration"@en	"Concentration of vitamin A above the upper limit of normal in the blood circulation."	"Abnormal circulating vitamin A concentration"
<http://purl.obolibrary.org/obo/HP_0003219>	"Ethylmalonic aciduria"	"The concentration of ethylmalonic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0033504>	"Elevated circulating fumarate concentration"	"An increased concentration of fumarate, an intermediate in the citric acid cycle, in the blood circulation."	"Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_6000206>	"Reduced CSF pyridoxal-5'-phosphate concentration"	"The concentration of pyridoxal-5'-phosphate in the cerebrospinal fluid (CSF) is below the lower limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0500200>	"Increased CSF glutamate concentration"@en	"Abnormally increased levels of glutamic acid in cerebrospinal fluid."	"Abnormal CSF glutamate concentration"
<http://purl.obolibrary.org/obo/HP_0012209>	"Juvenile myelomonocytic leukemia"	"Juvenile myelomonocytic leukemia (JMML) is a lethal myeloproliferative disease of young childhood characterized clinically by overproduction of myelomonocytic cells and by the in vitro phenotype of hematopoietic progenitor hypersensitivity to granulocyte-macrophage colony-stimulating factor."	"Myeloid leukemia"
<http://purl.obolibrary.org/obo/HP_0008348>	"Decreased circulating IgG2 level"	"A reduction in immunoglobulin levels of the IgG2 subclass in the blood circulation."	"Decreased circulating IgG subclass level"
<http://purl.obolibrary.org/obo/HP_0003212>	"Increased circulating IgE level"	"An abnormally increased overall level of immunoglobulin E in blood."	"Abnormal circulating IgE level, Increased circulating antibody level"
<http://purl.obolibrary.org/obo/HP_0010969>	"Abnormality of glycolipid metabolism"	"An abnormality of glycolipid metabolism."	"Abnormal tissue metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0031100>	"Decreased inhibin B level"	"A reduced concentration of inhibin B in the blood."	"Abnormal circulating inhibin level"
<http://purl.obolibrary.org/obo/HP_0500210>	"Increased CSF methionine concentration"@en	"Concentration of methionine in the cerebrospinal fluid above the upper limit of normal."	"Abnormal CSF methionine concentration"
<http://purl.obolibrary.org/obo/HP_0500196>	"Abnormal CSF glutamine concentration"@en	"Any deviation from the normal concentration of glutamine amino acids in the cerebrospinal fluid."	"Abnormal CSF glutamine family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0012127>	"Uraciluria"	"Increased concentration of uracil in the urine."	"Abnormal urinary pyrimidine level"
<http://purl.obolibrary.org/obo/HP_0011965>	"Abnormal circulating citrulline concentration"	"Any deviation from the normal concentration of citrulline in the blood circulation."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031886>	"Abnormal LDL cholesterol concentration"	"Any deviation from the normal concentration of low-density lipoprotein cholesterol in the blood circulation."	"Abnormality of lipoprotein cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0012025>	"Abnormal circulating ornithine concentration"	"Deviation from the normal concentration of ornithine in the blood circulation."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0033479>	"Abnormal circulating bilirubin concentration"		"Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0012403>	"Decreased urine alpha-ketoglutarate concentration"	"A lower than normal concentration of 2-oxoglutaric acid in the urine."	"Abnormal urine alpha-ketoglutarate concentration"
<http://purl.obolibrary.org/obo/HP_0031187>	"Abnormal circulating pregnenolone concentration"	"An abnormality of the concentration of pregnenolone in the blood."	"Abnormal circulating sex hormone concentration"
<http://purl.obolibrary.org/obo/HP_0033437>	"Elevated circulating 4-methyl-2-oxopentanoic acid concentration"	"The concentration of 4-methyl-2-oxopentanoic acid in the blood circulation is above the upper limit of normal."	"Abnormal circulating keto acid concentration"
<http://purl.obolibrary.org/obo/HP_0012637>	"Renal calcium wasting"	"High urine calcium in the presence of hypocalcemia."	"Abnormality of urine calcium concentration"
<http://purl.obolibrary.org/obo/HP_0033123>	"Elevated circulating osteopontin level"	"Abnormally increased level of osteopontin in the blood circulation"	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0032247>	"Persistent CMV viremia"	"Lasting (uncontrolled) presence of cytomegalovirus in the blood circulation."	"Persistent viremia"
<http://purl.obolibrary.org/obo/HP_0008309>	"Medium chain dicarboxylic aciduria"	"An increase in the level of medium chain dicarboxylic acid in the urine."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0034957>	"Reduced hepatic glycogen debrancher enzyme activity"	"Activity of glycogen debrancher enzyme (also known as amylo-1,6-glucosydase, 4-alpha-glucantransferase) in liver tissue below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0032961>	"Magnesium ammonium phosphate crystalluria"	"Magnesium ammonium phosphate crystals in the urine."	"Crystalluria"
<http://purl.obolibrary.org/obo/HP_4000193>	"Reduced leukocyte N-sulfoglucosamine sulfohydrolase activity"@en	"Concentration or activity of N-sulfoglucosamine sulfohydrolase as measured in leukocytes is below the limits of normal."	"Abnormal leukocyte enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0030087>	"Abnormal circulating testosterone concentration"	"An anomalous concentration of testosterone in the blood."	"Abnormal circulating androgen level"
<http://purl.obolibrary.org/obo/HP_0034591>	"Decreased circulating thyroxine-binding globulin concentration"	"A reduction from the normal concentration of thyroxine-binding globulin (TBG) in the blood circulation."	"Abnormal circulating thyroxine-binding globulin concentration"
<http://purl.obolibrary.org/obo/HP_0032567>	"Lipiduria"	"An increased lipid content in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0034724>	"Reduced CSF cystine concentration"	"Concentration of cystine in the cerebrospinal fluid below the lower limit of normal. Cystine is sulfur-containing amino acid obtained by the oxidation of two cysteine molecules which are then linked via a disulfide bond."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031031>	"Abnormal retinol-binding protein level"	"A deviation from normal blood concentration of retinol-binding protein (RBP). The most commonly used indicator of vitamin A status is the serum retinol concentration (retinol is one of the several compounds known as vitamin A). The serum RBP concentration is used as a surrogate measure for serum retinol."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0003537>	"Hypouricemia"	"An abnormally low level of uric acid in the blood."	"Abnormal circulating nucleobase concentration, Azotemia"
<http://purl.obolibrary.org/obo/HP_0020180>	"Elevated haptoglobin level"	"An abnormally high concentration of haptoglobin in the blood circulation. Haptoglobin is an acute-phase reactant whose levels can become elevated in the presence of infection and inflammation."	"Abnormal circulating haptoglobin concentration"
<http://purl.obolibrary.org/obo/HP_0033146>	"Elevated circulating methylsuccinic acid concentration"	"Increased concentration of methylsuccinic acid in the blood circulation."	"Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0040422>	"Elevated urinary inosine level"	"The amount of inosine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary inosine level"
<http://purl.obolibrary.org/obo/HP_0500254>	"Abnormal urine hexanoylglycine concentration"@en	"Abnormal concentration of hexanoylglycine in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0033445>	"Reduced circulating acylcarnitine concentration"	"An abnormally reduced concentration in the blood circulation of acylcarnitine, which is produced by reversible esterification of the 3-hydroxyl group of carnitine."	"Abnormal circulating acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0000816>	"Abnormality of Krebs cycle metabolism"	"An abnormality of the tricarboxylic acid cycle."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0032138>	"Decreased circulating IgG4 level"	"A reduction in immunoglobulin levels of the IgG4 subclass in the blood circulation."	"Decreased circulating IgG subclass level"
<http://purl.obolibrary.org/obo/HP_0045056>	"Abnormal circulating alpha-fetoprotein concentration"	"Concentration of alpha-fetoprotein in the blood circulation outside normal limits."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_6000119>	"Elevated urinary dihydrothymine level"	"The amount of dihydrothymine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary pyrimidine level"
<http://purl.obolibrary.org/obo/HP_0034028>	"Saccharopinuria"	"Presence of saccharopine in the urine."	"Abnormal urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_6000486>	"Elevated circulating CXCL10 concentration"	"The concentration of C-X-C motif chemokine 10 (CXCL10) in the blood circulation is above the upper limit of normal."	"Abnormal circulating chemokine concentration"
<http://purl.obolibrary.org/obo/HP_0001987>	"Hyperammonemia"	"An increased concentration of ammonia in the blood."	"Azotemia"
<http://purl.obolibrary.org/obo/HP_0010702>	"Increased circulating antibody level"	"An increased level of gamma globulin (immunoglobulin) in the blood."	"Abnormal immunoglobulin level"
<http://purl.obolibrary.org/obo/HP_0032964>	"Uric acid crystalluria"	"The presence of uric acid crystals in the urine."	"Crystalluria"
<http://purl.obolibrary.org/obo/HP_0033527>	"Decreased gonadotropin-stimulated testosterone-to-androstenedione ratio"	"A reduced amount of testosterone relative in androstenedione in the blood circulation following administration of hCG (Human Chorionic Gonadotropin)."	"Abnormal circulating androgen level"
