?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0008515>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the vertebrae"	"Aplasie/hypoplasie des vertèbres"@fr
<http://purl.obolibrary.org/obo/HP_0009975>	<http://www.w3.org/2000/01/rdf-schema#label>		"Duplication of the distal phalanx of the 4th finger"	"Duplication de la phalange distale de l'annulaire"@fr
<http://purl.obolibrary.org/obo/HP_0032049>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal cortical dysplasia type Ib"	"Dysplasie corticale focale de type Ib"@fr
<http://purl.obolibrary.org/obo/HP_0004395>	<http://www.w3.org/2000/01/rdf-schema#label>		"Malnutrition"	"Malnutrition"
<http://purl.obolibrary.org/obo/HP_0009613>	<http://www.w3.org/2000/01/rdf-schema#label>		"Duplication of the proximal phalanx of the thumb"	"Duplication partielle/complète de la phalange proximale du pouce"@fr
<http://purl.obolibrary.org/obo/HP_0008202>	<http://www.w3.org/2000/01/rdf-schema#label>		"Prolactin deficiency"	"Déficit en prolactine"
<http://purl.obolibrary.org/obo/HP_0002300>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mutism"	"Mutisme"@fr
<http://purl.obolibrary.org/obo/HP_0040285>	<http://www.w3.org/2000/01/rdf-schema#label>		"Excluded"	"Exclu"@fr
<http://purl.obolibrary.org/obo/HP_0030458>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal timing of pattern onset/offset visual evoked potentials"	"Synchronisation anormale des potentiels évoqués visuels d'apparition/de disparition du schéma"@fr
<http://purl.obolibrary.org/obo/HP_0006264>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the 2nd finger"	"aplasie/hypoplasie de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0030980>	<http://www.w3.org/2000/01/rdf-schema#label>		"Reduced brain glutamine level by MRS"	"Réduction du taux de glutamine cérébrale par SRM"@fr
<http://purl.obolibrary.org/obo/HP_0012232>	<http://www.w3.org/2000/01/rdf-schema#label>		"Shortened QT interval"	"Intervalle qt raccourci"@fr
<http://purl.obolibrary.org/obo/HP_0200005>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal shape of the palpebral fissure"	"Taille anormale des fentes palpébrales"@fr
<http://purl.obolibrary.org/obo/HP_0010780>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperacusis"	"hyperacousie"@fr
<http://purl.obolibrary.org/obo/HP_0030132>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absence of large von Willibrand factor multimers"	"Absence de multimères de facteur de von Willibrand de grande taille"
<http://purl.obolibrary.org/obo/HP_0002868>	<http://www.w3.org/2000/01/rdf-schema#label>		"Narrow iliac wings"	"Ailes iliaques étroites"
<http://purl.obolibrary.org/obo/HP_0002946>	<http://www.w3.org/2000/01/rdf-schema#label>		"Supernumerary vertebrae"	"Vertèbre surnuméraire"@fr
<http://purl.obolibrary.org/obo/HP_0030479>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal amplitude of light-adapted flicker electroretinogram"	"Amplitude anormale de l'électrorétinogramme de scintillement adapté à la lumière"@fr
<http://purl.obolibrary.org/obo/HP_0040132>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal sensory nerve conduction velocity"	"Vitesse de conduction nerveuse sensitive anormale"@fr
<http://purl.obolibrary.org/obo/HP_0500015>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal cardiac test"	"Test cardiaque anormal"@fr
<http://purl.obolibrary.org/obo/HP_0005268>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spontaneous abortion"	"Risque accru d'avortement spontané"
<http://purl.obolibrary.org/obo/HP_0008708>	<http://www.w3.org/2000/01/rdf-schema#label>		"Partial development of the penile shaft"	"Développement partiel du corps du pénis"@fr
<http://purl.obolibrary.org/obo/HP_0002023>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anal atresia"	"Atrésie anale"@fr
<http://purl.obolibrary.org/obo/HP_0011307>	<http://www.w3.org/2000/01/rdf-schema#label>		"Splayed toes"	"Orteils évasés"@fr
<http://purl.obolibrary.org/obo/HP_0030918>	<http://www.w3.org/2000/01/rdf-schema#label>		"Low 1-minute APGAR score"	"Faible score APGAR à 1 minute"@fr
<http://purl.obolibrary.org/obo/HP_0012749>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal T2 hypointense brainstem lesion"	"Lésion en hypersignal T2 focal du tronc cérébral"@fr
<http://purl.obolibrary.org/obo/HP_0000992>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cutaneous photosensitivity"	"Photosensibilité cutanée"@fr
<http://purl.obolibrary.org/obo/HP_0100707>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the astrocytes"	"Anomalie des astrocytes"
<http://purl.obolibrary.org/obo/HP_0005498>	<http://www.w3.org/2000/01/rdf-schema#label>		"Midline skin dimples over anterior/posterior fontanelles"	"Fossettes de peau sur la fontanelle antérieure/postérieure"@fr
<http://purl.obolibrary.org/obo/HP_0012100>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal circulating creatinine level"	"Créatininémie anormale"
<http://purl.obolibrary.org/obo/HP_0009938>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sunken cheeks"	"Joues enfonçées"@fr
<http://purl.obolibrary.org/obo/HP_0008007>	<http://www.w3.org/2000/01/rdf-schema#label>		"Primary congenital glaucoma"	"Glaucome primitif congénital"@fr
<http://purl.obolibrary.org/obo/HP_0012421>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital absence of foreskin"	"Absence congénitale du prépuce"@fr
<http://purl.obolibrary.org/obo/HP_0030534>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal best corrected visual acuity test"	"Test d'acuité visuelle corrigée optimale anormale"@fr
<http://purl.obolibrary.org/obo/HP_0003853>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sclerosis with transverse striations in metaphyses of the upper limbs"	"Sclérose avec striations transverses au niveau des métaphyses des membres supérieurs"@fr
<http://purl.obolibrary.org/obo/HP_0003777>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pili torti"	"Pili torti"
<http://purl.obolibrary.org/obo/HP_0100672>	<http://www.w3.org/2000/01/rdf-schema#label>		"Vaginal hernia"	"Hernie vaginale"@fr
<http://purl.obolibrary.org/obo/HP_0008341>	<http://www.w3.org/2000/01/rdf-schema#label>		"Distal renal tubular acidosis"	"Acidose tubulaire rénale distale"@fr
<http://purl.obolibrary.org/obo/HP_0009533>	<http://www.w3.org/2000/01/rdf-schema#label>		"Stippling of the epiphysis of the proximal phalanx of the 2nd finger"	"calcifications ponctuées de l'épiphyse des phalanges proximales de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0009791>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bifid sacrum"	"Sacrum bifide"@fr
<http://purl.obolibrary.org/obo/HP_0012326>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal celiac artery morphology"	"Anomalie morphologique de l'artère coeliaque"@fr
<http://purl.obolibrary.org/obo/HP_0010120>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pseudoepiphyses of the hallux"	"Pseudo-épiphyses de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0006481>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of primary teeth"	"Anomalie des dents de lait/primaires"@fr
<http://purl.obolibrary.org/obo/HP_0010191>	<http://www.w3.org/2000/01/rdf-schema#label>		"Symphalangism affecting the distal phalanges of the toes"	"Symphalangisme affectant les phalanges distales des orteils"@fr
<http://purl.obolibrary.org/obo/HP_0011747>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the anterior pituitary"	"Anomalie de l'adénohypophyse"@fr
<http://purl.obolibrary.org/obo/HP_0030375>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased proportion of memory B cells"	"Augmentation de la proportion de cellules B à mémoire"@fr
<http://purl.obolibrary.org/obo/HP_0031847>	<http://www.w3.org/2000/01/rdf-schema#label>		"Difficulty walking backward"	"Difficulté à marcher à reculons"@fr
<http://purl.obolibrary.org/obo/HP_0008418>	<http://www.w3.org/2000/01/rdf-schema#label>		"Squared-off platyspondyly"	"Platyspondylie au carré"@fr
<http://purl.obolibrary.org/obo/HP_0002843>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal T cell morphology"	"Anomalie des lymphocytes T"@fr
<http://purl.obolibrary.org/obo/HP_0006690>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myocardial calcification"	"Calcification myocardique"@fr
<http://purl.obolibrary.org/obo/HP_0032130>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mycobacterium abscessus abscessus infection"	"Infection à Mycobacterium abscessus abscessus"@fr
<http://purl.obolibrary.org/obo/HP_0010925>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nuclear punctate cataract"	"Cataracte punctiforme nucléaire"@fr
<http://purl.obolibrary.org/obo/HP_0000504>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of vision"	"Anomalie de la vision"@fr
<http://purl.obolibrary.org/obo/HP_0100433>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad distal phalanx of the 5th toe"	"Large phalange distale du cinquième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0030838>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hip pain"	"Douleur à la hanche"@fr
<http://purl.obolibrary.org/obo/HP_0000750>	<http://www.w3.org/2000/01/rdf-schema#label>		"Delayed speech and language development"	" Retard développemental du langage et de la parole"@fr
<http://purl.obolibrary.org/obo/HP_0100777>	<http://www.w3.org/2000/01/rdf-schema#label>		"Exostoses"	"Exostoses"
<http://purl.obolibrary.org/obo/HP_0005200>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retroperitoneal fibrosis"	"Fibrose rétropéritonéale"@fr
<http://purl.obolibrary.org/obo/HP_0031406>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal cytokine signaling"	"Signalisation anormale des cytokines"@fr
<http://purl.obolibrary.org/obo/HP_0500166>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal circulating gastrin level"	"Concentration plasmatique de gastrine anormale"
<http://purl.obolibrary.org/obo/HP_0003185>	<http://www.w3.org/2000/01/rdf-schema#label>		"Short sacroiliac notch"	"Incisures sacroiliaques étroites"
<http://purl.obolibrary.org/obo/HP_0003286>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cystathioninemia"	"Cystathioninémie"@fr
<http://purl.obolibrary.org/obo/HP_0011410>	<http://www.w3.org/2000/01/rdf-schema#label>		"Caesarian section"	"Accouchement par Césarienne"@fr
<http://purl.obolibrary.org/obo/HP_0025513>	<http://www.w3.org/2000/01/rdf-schema#label>		"Scleral rupture"	"Rupture sclérale"@fr
<http://purl.obolibrary.org/obo/HP_0012837>	<http://www.w3.org/2000/01/rdf-schema#label>		"Generalized"	"Généralisé"@fr
<http://purl.obolibrary.org/obo/HP_0005625>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteoporosis of vertebrae"	"Ostéoporose des vertèbres"@fr
<http://purl.obolibrary.org/obo/HP_0007948>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dense posterior cortical cataract"	"Cataracte corticale postérieure dense"@fr
<http://purl.obolibrary.org/obo/HP_0005216>	<http://www.w3.org/2000/01/rdf-schema#label>		"Impaired mastication"	"Difficultés de mastication"@fr
<http://purl.obolibrary.org/obo/HP_0032193>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased low-density lipoprotein particle size"	"Diminution de la taille des particules de LDL (lipoprotéines de basse densité)"@fr
<http://purl.obolibrary.org/obo/HP_0000384>	<http://www.w3.org/2000/01/rdf-schema#label>		"Preauricular skin tag"	"Acrochordon périauriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0008488>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anterior rounding of vertebral bodies"	"Arrondi antérieur des corps vertébraux"@fr
<http://purl.obolibrary.org/obo/HP_0010003>	<http://www.w3.org/2000/01/rdf-schema#label>		"Partial duplication of the proximal phalanges of the hand"	"duplication partielle des phalanges proximales de la main"@fr
<http://purl.obolibrary.org/obo/HP_0009579>	<http://www.w3.org/2000/01/rdf-schema#label>		"Proximal/middle symphalangism of the 2nd finger"	"symphalangisme des phalanges proximales et moyennes de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0008303>	<http://www.w3.org/2000/01/rdf-schema#label>		"Olivary degeneration"	"Atrophie cérébelleuse avec dégénérescence des noyaux olivaires"@fr
<http://purl.obolibrary.org/obo/HP_0005419>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased T cell activation"	"Activation diminuée des cellules T"@fr
<http://purl.obolibrary.org/obo/HP_0009332>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the epiphysis of the distal phalanx of the 3rd finger"	"anomalie des épiphyses de la troisième phalange du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0011218>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal shape of the frontal region"	"forme anormale de la région frontale"@fr
<http://purl.obolibrary.org/obo/HP_0006270>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplastic spleen"	"Rate hypoplasique"@fr
<http://purl.obolibrary.org/obo/HP_0011604>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aortopulmonary window"	"Communication aortopulmonaire"@fr
<http://purl.obolibrary.org/obo/HP_0004470>	<http://www.w3.org/2000/01/rdf-schema#label>		"Atretic occipital cephalocele"	"Encéphalocèle occipital atrétique"@fr
<http://purl.obolibrary.org/obo/HP_0004821>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypersegmentation of neutrophil nuclei"	"Hypersegmentation des noyaux des neutrophiles"@fr
<http://purl.obolibrary.org/obo/HP_0005036>	<http://www.w3.org/2000/01/rdf-schema#label>		"Unilateral ulnar hypoplasia"	"Hypoplasie unilatérale de l'ulna"@fr
<http://purl.obolibrary.org/obo/HP_0032058>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal cortical dysplasia type IIId"	"Dysplasie corticale focale de type IIId"@fr
<http://purl.obolibrary.org/obo/HP_0100936>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sclerosis of the middle phalanx of the 3rd toe"	"Sclérose des phalanges moyennes du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0012348>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased galactosylation of N-linked protein glycosylation"	"Diminution de la galactosylation de la glycosylation des protéines N-liées"@fr
<http://purl.obolibrary.org/obo/HP_0004603>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperconvex vertebral body endplates"	"Plateaux des corps vertébraux hyperconvexes"@fr
<http://purl.obolibrary.org/obo/HP_0001806>	<http://www.w3.org/2000/01/rdf-schema#label>		"Onycholysis"	"Onycholyse"@fr
<http://purl.obolibrary.org/obo/HP_0410295>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete or near-complete absence of specific antibody response to tetanus vaccine"	"Absence complète ou quasi-complète de réponse des anticorps spécifiques au vaccin antitétanique"@fr
<http://purl.obolibrary.org/obo/HP_0012132>	<http://www.w3.org/2000/01/rdf-schema#label>		"Erythroid hyperplasia"	"Hyperplasie érythroïde"@fr
<http://purl.obolibrary.org/obo/HP_0009339>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fragmentation of the epiphysis of the distal phalanx of the 3rd finger"	"fragmentation épiphysaire de la phalange distale du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0011796>	<http://www.w3.org/2000/01/rdf-schema#label>		"Perilobar nephroblastomatosis"	"Néphroblastomatose périlobaire"@fr
<http://purl.obolibrary.org/obo/HP_0001181>	<http://www.w3.org/2000/01/rdf-schema#label>		"Adducted thumb"	"Pouces en adduction"@fr
<http://purl.obolibrary.org/obo/HP_0009563>	<http://www.w3.org/2000/01/rdf-schema#label>		"Distal/middle symphalangism of 2nd finger"	"Symphalangisme affectant la phalange distale de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0100521>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neoplasm of the thymus"	"Néoplasie du thymus"@fr
<http://purl.obolibrary.org/obo/HP_0012830>	<http://www.w3.org/2000/01/rdf-schema#label>		"Position"	"Position"
<http://purl.obolibrary.org/obo/HP_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>		"Skin dimple over apex of long bone angulation"	"Fossette cutanée au dessus de l'angulation d'un os long"@fr
<http://purl.obolibrary.org/obo/HP_0002203>	<http://www.w3.org/2000/01/rdf-schema#label>		"Respiratory paralysis"	"Paralysie respiratoire"@fr
<http://purl.obolibrary.org/obo/HP_0040131>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal motor nerve conduction velocity"	"Vitesse de conduction nerveuse motrice anormale"@fr
<http://purl.obolibrary.org/obo/HP_0500013>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lack of gonadotropin-releasing hormone pulsatility"	"Absence de pulsatilité de la GnRH (gonadotropin-releasing hormone)"@fr
<http://purl.obolibrary.org/obo/HP_0006184>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased palmar creases"	"Plis palmaires hypoplasiques"@fr
<http://purl.obolibrary.org/obo/HP_0010709>	<http://www.w3.org/2000/01/rdf-schema#label>		"2-4 finger syndactyly"	"Syndactylie du 2ème au 4ème doigt"@fr
<http://purl.obolibrary.org/obo/HP_0003261>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased IgA level"	"Taux d'IgA augmenté"
<http://purl.obolibrary.org/obo/HP_0031711>	<http://www.w3.org/2000/01/rdf-schema#label>		"Asymmetric abdominal aortic aneurysm"	"Anévrisme asymétrique de l'aorte abdominale"@fr
<http://purl.obolibrary.org/obo/HP_0011845>	<http://www.w3.org/2000/01/rdf-schema#label>		"Short second metatarsal"	"Second métatarse court"@fr
<http://purl.obolibrary.org/obo/HP_0100630>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neoplasia of the nasopharynx"	"Néoplasie du rhinopharynx"@fr
<http://purl.obolibrary.org/obo/HP_0007720>	<http://www.w3.org/2000/01/rdf-schema#label>		"Flat cornea"	"Cornea plana congénitale"@fr
<http://purl.obolibrary.org/obo/HP_0030035>	<http://www.w3.org/2000/01/rdf-schema#label>		"Struvite nephrolithiasis"	"Néphrolithiase à la struvite"@fr
<http://purl.obolibrary.org/obo/HP_0012631>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pigment deposition in the trabecular meshwork"	"Déposition de pigments dans le réseau trabéculaire de la sclère"@fr
<http://purl.obolibrary.org/obo/HP_0011680>	<http://www.w3.org/2000/01/rdf-schema#label>		"Single ventricle of indeterminate morphology"	"Ventricule unique de morphologie indéterminée"@fr
<http://purl.obolibrary.org/obo/HP_0025252>	<http://www.w3.org/2000/01/rdf-schema#label>		"Geographic tongue"	"Langue en carte de géographie"@fr
<http://purl.obolibrary.org/obo/HP_0012429>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the cerebral white matter"	"Aplasie/hypoplasie de la substance blanche centrale"@fr
<http://purl.obolibrary.org/obo/HP_0003877>	<http://www.w3.org/2000/01/rdf-schema#label>		"Oval transradiancy of humerus"	"Transradiance ovale de l'humérus"@fr
